manufacturer,model,year,mileage,engine,transmission,drivetrain,fuel_type,mpg,exterior_color,interior_color,accidents_or_damage,one_owner,personal_use_only,seller_name,seller_rating,driver_rating,driver_reviews_num,price_drop,price
Jeep,Grand Cherokee Overland,2012,187866.0,5.7L V8 16V MPFI OHV,6-Speed Automatic,Four-wheel Drive,Gasoline,16-23,Gray,Dark Frost Beige / Light Frost Beig,0.0,0.0,0.0,APX Auto Brokers,3.2,4.5,180.0,,12991.0
RAM,1500 Big Horn,2018,108149.0,"HEMI 5.7L V-8 variable valve control, engine with cylinder deact",8-Speed Automatic,Four-wheel Drive,Gasoline,16-21,Brilliant Black Crystal Pearl,Diesel Grey/Black,0.0,0.0,0.0,Mountain West Motor,,4.7,279.0,1000.0,28990.0
Mercedes-Benz,GLS 550 Base 4MATIC,2017,97620.0,4.7L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,All-wheel Drive,Gasoline,14-18,White,,0.0,1.0,0.0,CarWorld,1.9,4.8,9.0,,35995.0
Chevrolet,Bolt EUV LT,2022,5208.0,Electric,1-Speed Automatic,Front-wheel Drive,Electric,,Summit White,Jet Black,0.0,,1.0,Sleepy Hollow Chevrolet Buick GMC,4.3,4.2,6.0,,33492.0
Honda,Ridgeline RTL-E,2019,32842.0,3.5L V6 24V GDI SOHC,6-Speed Automatic,All-wheel Drive,Gasoline,18-25,Crystal Black Pearl,Black,0.0,1.0,1.0,Nalley Honda Brunswick,4.7,4.8,169.0,,34998.0
Honda,CR-V Hybrid EX-L,2021,98253.0,2.0L I4 16V MPFI DOHC Hybrid,Automatic CVT,All-wheel Drive,Hybrid,40-35,Black,,0.0,1.0,1.0,Crain Buick GMC,2.7,4.8,26.0,300.0,28699.0
Chevrolet,Silverado 1500 LT,2020,63597.0,5.3L V8 16V GDI OHV,Automatic,Four-wheel Drive,Gasoline,20-23,Black,Jet Black,0.0,1.0,0.0,Whisler Chevrolet,4.4,4.6,139.0,,40299.0
Ford,Transit-250 Base,2021,17714.0,3.5L V6 24V PDI DOHC Flexible Fuel,10-Speed Automatic,Rear-wheel Drive,E85 Flex Fuel,,Oxford White,Ebony,0.0,1.0,0.0,Olathe Ford Lincoln,4.8,,0.0,,43900.0
Subaru,WRX Base,2017,100116.0,2.0L H4 16V GDI DOHC Turbo,6-Speed Manual,All-wheel Drive,Gasoline,20-27,Crystal White Pearl,Black,1.0,0.0,1.0,Too Hot Motors,,4.5,69.0,300.0,19875.0
Toyota,Prius c Two,2015,54720.0,1.5L I4 16V MPFI DOHC Hybrid,Automatic CVT,FWD,Hybrid,53-46,Gray,Black,0.0,0.0,1.0,CarMax Spokane - Offering Express Pickup and Home Delivery,,4.4,35.0,1000.0,18998.0
BMW,328 i,2014,91974.0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,Rear-wheel Drive,Gasoline,23-35,Mineral Gray Metallic,Brown,1.0,0.0,0.0,AutoNation Subaru West,4.8,4.6,111.0,,15199.0
Ford,Mustang Mach-E Select,2022,12201.0,Electric,1-Speed Automatic,All-wheel Drive,Electric,,Gray Metallic,Black Onyx,0.0,1.0,1.0,Genesee Valley Motors,3.2,4.9,4.0,,39935.0
GMC,Yukon XL Denali,2021,56845.0,6.2L V8 16V GDI OHV,10-Speed Automatic,Four-wheel Drive,Gasoline,14-19,Satin Steel Metallic,Jet Black,0.0,1.0,0.0,Key Chrysler Dodge Jeep RAM of Marianna,,4.9,3.0,100.0,70896.0
Land Rover,Range Rover Sport HSE Dynamic,2019,64107.0,V6,Automatic,Four-wheel Drive,Gasoline,17-23,Santorini Black,Pimento / Ebony,0.0,1.0,1.0,Atlanta Autos,4.6,4.7,11.0,1000.0,55999.0
Ford,Edge SEL,2011,109844.0,3.5L V6 24V MPFI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline,19-26,White,Tan,0.0,0.0,1.0,CarMax Clearwater - Offering Express Pickup and Home Delivery,,4.5,158.0,,14599.0
Chevrolet,Silverado 1500 Limited RST,2022,14142.0,5.3L V8 16V GDI OHV,8-Speed Automatic,Four-wheel Drive,Gasoline,,Northsky Blue Metallic,Black,0.0,1.0,1.0,Jim Butler Chevrolet,4.4,,0.0,,48667.0
Toyota,Yaris Sedan LE,2019,27172.0,1.5L I4 16V GDI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline,32-40,Pulse,Gray,0.0,0.0,0.0,Sunshine Toyota,4.9,4.7,17.0,173.0,19802.0
Buick,Envision Essence,2020,4942.0,2.5L I4 16V GDI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline,22-29,Satin Steel Metallic,Dark Galvanized,0.0,1.0,1.0,Labadie Buick GMC,4.7,4.9,43.0,,28401.0
Hyundai,Santa Fe Sport 2.4L,2016,80210.0,2.4L I4 16V GDI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline,20-27,Frost White Pearl,Beige,1.0,0.0,1.0,Sheehy Toyota of Fredericksburg,4.5,4.5,76.0,,16988.0
Chevrolet,Colorado LT,2021,65209.0,3.6L V6 24V GDI DOHC,8-Speed Automatic,Rear-wheel Drive,Gasoline,25,Black,Black,1.0,0.0,0.0,McCarthy Nissan of Lawrence,,4.7,46.0,179.0,27554.0
Nissan,Versa 1.6 SV,2019,50945.0,1.6L I4 16V MPFI DOHC,Automatic CVT,Front-wheel Drive,Gasoline,,Gray,Charcoal,1.0,0.0,0.0,Ideal Cars,2.6,4.4,49.0,,13491.0
Mercedes-Benz,GLA 250 Base 4MATIC,2019,32445.0,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,7-Speed Automatic with Auto-Shift,All-wheel Drive,E85 Flex Fuel,23-31,Polar White,Crystal Gray,0.0,0.0,0.0,Off Lease Only Palm Beach,4.9,4.6,34.0,,29999.0
Toyota,4Runner TRD Off Road,2021,41749.0,4.0L V6 24V MPFI DOHC,5-Speed Automatic,Four-wheel Drive,Gasoline,16-19,Classic Silver Metallic,Black / Graphite,0.0,1.0,0.0,North Park Toyota of San Antonio,4.3,4.9,42.0,,40951.0
Hyundai,Sonata SEL,2019,39844.0,4 Cylinder,Automatic,Front-wheel Drive,Gasoline,25-33,Phantom Black,Graphite,0.0,0.0,1.0,HGreg.com Orlando,4.8,4.8,155.0,1500.0,18998.0
Chrysler,Pacifica Touring-L Plus,2018,92719.0,"3.6L V-6 DOHC, VVT variable valve control, engine with cylinder",Automatic,Front-wheel Drive,Gasoline,19-28,Bright White Clearcoat,Black/Alloy,0.0,1.0,0.0,"Naryan Auto Group, Inc.",,4.7,227.0,,19344.0
INFINITI,Q60 3.0t Sport,2018,31358.0,3.0L V6 24V GDI DOHC Twin Turbo,7-Speed Automatic,All-wheel Drive,Gasoline,19-27,Graphite Shadow,Monaco Red,1.0,0.0,1.0,Feldman Chevrolet of Highland,4.0,4.8,32.0,246.0,33995.0
Toyota,Tacoma,2021,49476.0,3.5L V6 24V PDI DOHC,6-Speed Automatic,Four-wheel Drive,Gasoline,18-22,Magnetic Gray Metallic,Cement,0.0,1.0,0.0,Fitzgerald Toyota Gaithersburg,4.2,4.8,89.0,700.0,38795.0
Toyota,RAV4 LE,2020,37786.0,2.5L,8 SPEED AUTOMATIC TRANSMISSION,,Gasoline,,ICE CAP,FB20,0.0,1.0,1.0,Team Auto Center,4.7,4.7,172.0,1100.0,28898.0
Hyundai,Kona SE,2018,108923.0,2.0L I4 16V MPFI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline,27-33,Thunder Gray,Black,0.0,0.0,1.0,Nissan North,4.1,4.7,205.0,456.0,14248.0
Ford,Fusion SE,2016,27096.0,"Duratec 2.5L I-4 DOHC, iVCT variable valve control, engine with",Automatic,Front-wheel Drive,Gasoline,22-34,Burgundy,Black,1.0,1.0,0.0,Modern Cars NJ,,4.6,296.0,,16999.0
Mitsubishi,Outlander ES,2017,71136.0,2.4L I4 16V MPFI SOHC,Automatic CVT,Front-wheel Drive,Gasoline,25-30,Silver,Black,0.0,0.0,1.0,Ed Morse Cadillac of Tampa,4.9,4.6,143.0,2004.0,14994.0
Chevrolet,Equinox 2LT,2019,54792.0,1.5L I4 16V GDI DOHC Turbo,6-Speed Automatic,All-wheel Drive,Gasoline,25-30,Silver Ice Metallic,Medium Ash Gray,0.0,0.0,0.0,ACRA Automotive Group,,4.5,419.0,,24955.0
Ford,Mustang GT Premium,2017,49975.0,5.0L V8 32V MPFI DOHC,6-Speed Manual,Rear-wheel Drive,Gasoline,15-25,Magnetic Metallic,Ebony,0.0,0.0,1.0,Thornton Automotive Dover,4.9,4.8,295.0,907.0,37879.0
Lincoln,Navigator Select,2017,80757.0,3.5L V6 24V GDI DOHC Twin Turbo,6-Speed Automatic,Four-wheel Drive,Gasoline,15-20,White,Medium Light Stone,1.0,0.0,1.0,West Branch Ford,,4.9,16.0,510.0,34500.0
Toyota,Camry XSE,2022,16836.0,2.5L I4 16V PDI DOHC,8-Speed Automatic,Front-wheel Drive,Gasoline,27-38,Gray,Black,1.0,1.0,1.0,Landers McLarty Toyota,4.2,5.0,2.0,1012.0,34890.0
Nissan,Rogue SV,2020,33002.0,2.5L I4 16V MPFI DOHC,Automatic CVT,All-wheel Drive,Gasoline,25-32,White,Beige,0.0,1.0,1.0,Nissan Of North Olmsted,4.9,4.8,136.0,,23999.0
GMC,Sierra 3500 Denali,2022,6351.0,6.6L V8 32V DDI OHV Turbo Diesel,Automatic,Four-wheel Drive,Diesel,,White Frost Tri-Coat,Walnut,0.0,1.0,0.0,GMC of Vacaville,2.0,3.7,2.0,3000.0,84990.0
Mazda,Mazda3 AWD w/Preferred Package,2020,33049.0,2.5L I4 16V GDI DOHC,6-Speed Automatic,All-wheel Drive,Gasoline,25-33,Snowflake White Pearl,Black,0.0,1.0,1.0,Serra Auto Park,3.0,4.6,29.0,,22977.0
Chevrolet,Colorado Z71,2016,56923.0,3.6L V6 24V GDI DOHC,6-Speed Automatic,Four-wheel Drive,Gasoline,17-24,Summit White,Jet Black,0.0,0.0,1.0,Schrier Automotive Inc,5.0,4.3,159.0,200.0,29988.0
Mitsubishi,Outlander GT,2019,56026.0,3.0L V6 24V MPFI SOHC,6-Speed Automatic,Four-wheel Drive,Gasoline,20-27,Pearl White,Black,0.0,0.0,1.0,Serpentini Chevrolet - Strongsville,3.4,4.7,72.0,112.0,23169.0
Lincoln,MKS Base,2015,67793.0,3.7L V6 24V MPFI DOHC,6-Speed Automatic,All-wheel Drive,Gasoline,18-26,Ruby Red Metallic Tinted Clearcoat,Charcoal Black,0.0,0.0,1.0,Varsity Lincoln,4.8,4.7,20.0,,17995.0
Acura,ILX Base,2020,12093.0,2.4L I4 16V GDI DOHC,8-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,24-34,Modern Steel Metallic,Ebony,0.0,1.0,1.0,Piazza Acura of Ardmore,4.7,4.6,17.0,498.0,25994.0
Dodge,Charger Scat Pack,2020,18763.0,6.4L V8 16V MPFI OHV,8-Speed Automatic,Rear-wheel Drive,Gasoline,15-24,Go Mango!,Black,0.0,0.0,1.0,Ingersoll Auto of Danbury,4.2,4.8,57.0,2727.0,45895.0
Dodge,Charger SE,2015,141654.0,3.6L V6 24V MPFI DOHC,8-Speed Automatic,Rear-wheel Drive,Gasoline,19-31,Blue,Black,0.0,0.0,0.0,Georgia Import Auto,3.4,4.6,123.0,1509.0,12499.0
Ford,Fusion Titanium,2019,97353.0,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Front-wheel Drive,Gasoline,21-31,Magnetic Metallic,Ebony,0.0,0.0,0.0,Andy Mohr Buick GMC,4.3,4.6,98.0,417.0,18000.0
Kia,Forte FE,2020,14174.0,2.0L I4 16V MPFI DOHC,6-Speed Manual,Front-wheel Drive,Gasoline,27-37,Aurora Black,Black,0.0,1.0,1.0,Oxmoor Ford,4.1,4.7,89.0,1250.0,19750.0
Chevrolet,Cruze 1LT,2014,54000.0,1.4L I4 16V MPFI DOHC Turbo,6-Speed Automatic,Front-wheel Drive,Gasoline,26-38,Red,Jet Black,1.0,0.0,0.0,AutoNation Chevrolet Doral,4.7,4.3,345.0,296.0,11411.0
Lexus,SC 400 Base,1999,73604.0,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Rear-wheel Drive,Gasoline,,White,Beige,,,,,,4.6,3.0,,24000.0
Dodge,Journey Crossroad,2018,94780.0,3.6L V6 24V MPFI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline,19-25,Granite Crystal Clearcoat Metallic,Black,0.0,0.0,0.0,American Motors,,4.6,254.0,299.0,14489.0
Kia,Forte Koup EX,2014,97781.0,2.0L I4 16V GDI DOHC,6-Speed Automatic,Front-wheel Drive,Gasoline,25-34,Graphite Steel,Gray,1.0,1.0,1.0,Michigan City Hyundai,,4.6,14.0,500.0,9990.0
Ford,EcoSport SE,2019,71000.0,1.0L I3 12V GDI DOHC Turbo,6-Speed Automatic,Front-wheel Drive,Gasoline,27-29,Smoke Metallic,Medium Stone,1.0,1.0,0.0,Napleton Clermont Chrysler Jeep Dodge RAM,3.4,4.5,108.0,700.0,16288.0
Ford,Fiesta SE,2019,117382.0,1.6L I4 16V MPFI DOHC,6-Speed Automatic with Auto-Shift,Front-wheel Drive,Gasoline,27-35,Shadow Black,Charcoal Black,0.0,0.0,0.0,Boktor Motors,3.7,4.6,76.0,900.0,8988.0
Lexus,NX 300 Base,2020,7242.0,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,Front-wheel Drive,Gasoline,22-28,Matador Red Mica,Caramel,0.0,1.0,1.0,Sewell Lexus of Fort Worth,3.0,4.8,39.0,,41995.0
INFINITI,QX60 Luxe,2019,49438.0,3.5L V6 24V GDI DOHC,Automatic CVT,All-wheel Drive,Gasoline,19-26,Majestic White,Graphite,1.0,1.0,1.0,Atlanta Best Used Cars,4.1,4.5,57.0,,27000.0
Volvo,XC60 B5 AWD Mild Hybrid Plus Bright,2023,4131.0,I-4 cyl,Automatic,All-wheel Drive,Gasoline,,Silver Dawn,Charcoal,0.0,0.0,0.0,"Porsche of the Village, Maserati Cincinnati, Alfa Romeo of Cincinnati, and Volvo Cars of Cincinnati East",2.8,5.0,3.0,3255.0,50382.0
Dodge,Challenger SXT,2019,71780.0,3.6L V6 24V MPFI DOHC,8-Speed Automatic,All-wheel Drive,Gasoline,18-27,Yellow Jacket Clearcoat,Black,1.0,0.0,0.0,Sawyer Lyons Buick GMC of Randolph,4.7,4.8,152.0,1000.0,23985.0
Ford,F-150 King Ranch,2020,11680.0,5.0L 8 Cylinder,Automatic,Four-wheel Drive,Gasoline,,Silver,,0.0,1.0,1.0,Bud Clary Toyota of Yakima,,4.8,222.0,,42736.0
BMW,X1 xDrive28i,2020,17498.0,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic,All-wheel Drive,Gasoline,23-31,Mediterranean Blue Metallic,Oyster / Black,0.0,1.0,1.0,Rallye BMW,4.8,4.9,14.0,,31998.0
Lexus,NX 300 Base,2019,35132.0,2.0L I4 16V PDI DOHC Turbo,6-Speed Automatic,All-wheel Drive,Gasoline,22-28,Atomic Silver,Black,0.0,0.0,1.0,Lexus of Akron Canton,4.9,4.7,75.0,117.0,31893.0
Honda,Passport EX-L,2020,7969.0,3.5L V6 24V GDI SOHC,9-Speed Automatic,AWD,Gasoline,19-24,Blue,Gray,,,,Ageless Autos.Inc,,4.8,51.0,,34995.0
